"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"1","LUKE","[3,17,24,84,108,118,141,130,143,148,145,185,197,246,275]","[380,375,377,373,368,370,365,363,361,359,357,355,353,350,348,347,346,441,443,431,437,425,429,427,524,526,522,486,485,483,481,479,488,563,565,567,569,571,528,531,532,91,93,88,84,86,106,95,97,186,184,190,202,199,200,206,204,193,194,191,197,195,196,151,154,153,156,158,270,268,217,227,229,225,232,231,318,322,321,320,319,326,325,324,323,329,328,327,271,272,273,274,275,622,634,632,637,624,630,627,640,643,675,674,761,759,778,782,780,787,788,784,786,802,822,820,826,824,3,836,1,835,833,831,7,6,5]"
"2","HAN SOLO","[3,6,7,9,10,17,21,24,77,25,84,108,130,118,145,148,185,197,246]","[396,398,392,394,388,390,383,384,385,386,345,343,341,338,336,457,459,460,461,448,451,453,446,402,400,405,500,501,502,507,504,506,468,465,466,463,476,473,471,578,580,581,585,588,587,559,560,573,574,545,543,549,547,553,551,557,555,541,124,118,115,113,112,133,131,129,127,92,94,90,89,107,108,110,105,101,96,98,155,157,149,241,254,250,259,257,255,267,265,264,263,222,235,237,233,306,303,304,308,314,312,317,334,276,278,280,281,283,286,288,290,292,291,294,293,296,298,300,30,28,26,24,22,19,20,17,45,43,40,38,36,34,32,60,55,58,51,53,47,49,73,68,70,63,66,600,604,606,594,596,608,610,612,649,647,654,651,669,665,656,673,702,696,694,692,690,716,708,706,721,723,724,726,15,13,4,2,11,9,8]"
"3","RIEEKAN","[3,6,25,84,108]","[121,120,134,128,178,160,220,218,18,16,14,12,10]"
"4","LEIA","[6,7,24,25,77,84,108,130,118,145,185,197,246]","[395,397,391,393,387,389,344,342,340,456,458,462,447,449,452,454,401,399,403,508,510,503,469,470,467,477,475,577,582,584,561,546,544,550,548,554,552,558,556,123,116,114,111,132,130,109,176,172,174,242,239,262,258,266,219,221,236,234,305,309,313,316,277,285,287,295,297,299,301,29,27,25,23,21,39,37,35,33,31,592,598,650,648,653,652,667,659,661,655,657,700,698,693,691,709,704,725,735,738,741,744,746,748,751,789,798,791,793,804,805,800,799,808,807]"
"5","THREEPIO","[8,9,14,24,25,108,130,118,145,148,185,197,246]","[382,381,339,337,335,455,450,445,406,404,499,509,505,464,474,472,576,583,586,542,540,126,119,82,81,103,104,244,253,251,252,261,260,256,223,238,310,307,311,315,279,284,289,302,46,44,42,41,62,56,52,54,48,50,75,77,74,64,602,601,591,616,617,618,620,614,676,677,689,715,720,722,727,740,743,749,754,752,757,755,756,770,767,773,772,771,775,817,818,816,829,828]"
"6","DECK OFFICER","[9,10,108]","[65,69,67,72,57,61,59,245]"
"7","ASSISTANT OFFICER","[10]","[71]"
"8","LIEUTENANT","[14]","[80,76]"
"9","DERLIN","[14,84]","[79,78,177]"
"10","BEN","[17,197]","[87,83,85,633,631,645,639,641,628,626,636]"
"11","ZEV","[19,21,108]","[226,230,228,102,100,99]"
"12","ANNOUNCER","[24,84,108]","[117,182,240]"
"13","SENIOR CONTROLLER","[25,84]","[125,122,189,179,159]"
"14","PIETT","[84,145,185,197,246]","[409,413,411,495,498,493,491,537,535,539,141,139,137,135,143,169,171,333,331,811,813,815,827]"
"15","OZZEL","[84]","[167,145,136,138,140]"
"16","VADER","[84,145,185,197,246]","[424,418,416,422,420,410,408,414,412,496,534,538,536,142,144,146,168,170,161,163,165,330,332,683,685,679,681,671,687,714,712,710,719,728,730,732,734,736,758,762,760,765,763,764,777,776,781,779,783,785,796,812,814,821,819,825]"
"17","REBEL CAPTAIN","[84]","[147,180]"
"18","REBEL FIGHTER","[84]","[148]"
"19","MEDICAL DROID","[84]","[150,152]"
"20","VEERS","[84,108]","[201,162,164,166,249,247,224]"
"21","HOBBIE","[84]","[173]"
"22","PILOT","[84,108]","[175,248]"
"23","WOMAN CONTROLLER","[84]","[181]"
"24","DACK","[84]","[198,192,183,185]"
"25","TRENCH OFFICER","[84,108]","[188,187,215]"
"26","WEDGE","[84,108,118]","[205,203,269,213,207,208,209,216]"
"27","JANSON","[84]","[210,214,212,211]"
"28","HEAD CONTROLLER","[108]","[243]"
"29","SECOND OFFICER","[108]","[246]"
"30","IMPERIAL OFFICER","[246,130]","[282,731]"
"31","STRANGE VOICE","[148]","[349]"
"32","CREATURE","[148,185]","[379,376,378,428,430,426,432,352,351,354,356,358,360,362,364,366,369,367,374,371,372]"
"33","NEEDA","[185,197]","[407,517,512,511,514]"
"34","EMPEROR","[185]","[423,417,415,421,419]"
"35","BEN'S VOICE","[185,197]","[439,433,435,625]"
"36","YODA","[197,185]","[440,442,444,434,436,438,523,525,520,519,521,484,482,480,490,489,487,478,562,564,566,568,570,572,529,530,527,533,621,638,635,623,629,642,646,644]"
"37","FIRST CONTROLLER","[197]","[492]"
"38","SECOND CONTROLLER","[197]","[494]"
"39","BOBA FETT","[197,246]","[497,680,718,753]"
"40","TRACKING OFFICER","[197]","[515,513]"
"41","COMMUNICATIONS OFFICER","[197]","[516,518]"
"42","INTERCOM VOICE","[197]","[575,579]"
"43","LANDO","[197,246]","[590,589,599,603,605,593,595,597,607,609,611,613,668,670,664,663,666,660,662,658,684,686,682,678,672,701,699,697,695,688,717,713,707,705,703,729,733,737,739,742,745,747,750,766,769,768,774,790,795,797,792,794,803,806,801,810,809,830,823,834,832]"
"44","SECOND THREEPIO","[197]","[615]"
"45","MAN'S VOICE","[197]","[619]"
"46","IMPERIAL SOLDIER","[246]","[711]"
